Indian Male,Weight,Indian Female,Weight,Indian Unisex,Weight,Indian Surname,Weight,Kazak Male,Weight,Kazak Female,Weight,Kazak Unisex,Weight,Kazak Masculine Surname,Weight,Kazak Feminine Surname,Weight,Chinese Male,Weight,Chinese Female,Weight,Chinese Unisex,Weight,Chinese Surname,Weight
Mohammed,1,Sunita,1,Ram,1,Devi,1,Sergey,1,Elena,1,Marat,1,Kenes,1,Kenes,1,Yìchén,1,Yī Nuò,1,Huì,1,Wang,1
Sanjay,1,Anita,1,Sri,1,Singh,1,Vladimir,1,Natalya,1,Kuanysh,1,Omarov,1,Alieva,1,Yǔxuān,1,Xīn Yí,1,An,1,Li,1
Sunil,1,Gita,1,Santosh,1,Kumar,1,Aleksandr,1,Tatyana,1,Bakhytzhan,1,Sultanov,1,Barat,1,Hàoyǔ,1,Zǐ Hán,1,Chén,1,Zhang,1
Rajesh,1,Rekha,1,Lakshmi,1,Das,1,Ruslan,1,Olga,1,Nurzhan,1,Barat,1,Akhmetova,1,Shí Lěi,1,Měi Qí,1,Chūn,1,Liu,1
Ramesh,1,Manju,1,Raju,1,Kaur,1,Andrey,1,Irina,1,Orken,1,Akhmetov,1,Bolatbek,1,Yǔchén,1,Xīn Yán,1,Liǔ,1,Chen,1
Ashok,1,Shanti,1,Suman,1,Ram,1,Azamat,1,Svetlana,1,Askar,1,Umarov,1,Ivanova,1,Zǐmò,1,Kě Xīn,1,Jiāng,1,Yang,1
Manoj,1,Usha,1,Raj,1,Yadav,1,Viktor,1,Nadezhda,1,Murat,1,Belgibaev,1,Iskakova,1,Yǔháng,1,Yǔ Xī,1,Míng,1,Huang,1
Anil,1,Asha,1,Krishna,1,Kumari,1,Talgat,1,Aygerim,1,Inkar,1,Kemelov,1,Boyko,1,Hàorán,1,Yǔ Tóng,1,Píng,1,Wu,1
Suresh,1,Mina,1,Kiran,1,Lal,1,Nikolay,1,Ekaterina,1,Bekzat,1,Bolatbek,1,Omarova,1,Zǐháo,1,Mèng Yáo,1,Shàn,1,Xu,1
Vijay,1,Pushpa,1,Sita,1,Bai,1,Serik,1,Galina,1,Aruzhan,1,Ivanov,1,Ospanova,1,Zhì Péng,1,Chán Juān,1,Zǐhán,1,Zhao,1
Mo,1,Laxmi,1,Radha,1,Khatun,1,Dmitriy,1,Marina,1,Symbat,1,Kambarov,1,Smagulova,1,Míng Tāo,1,Chūn Huá,1,Héng,1,Zhou,1
Abdul,1,Urmila,1,Rama,1,Mandal,1,Nursultan,1,Dinara,1,Ramazan,1,Boyko,1,Eleusiz,1,Hào Rán,1,Dōng Méi,1,Guāng,1,Lu,1
Vinod,1,Rita,1,Shiv,1,Ali,1,Denis,1,Anastasiya,1,Didar,1,Smagulov,1,Sultanova,1,Jùn Jié,1,Huì Yǐng,1,Huān,1,Zhu,1
Rajendra,1,Sushila,1,Kamal,1,Sharma,1,Ivan,1,Madina,1,Madi,1,Aliev,1,Asanova,1,Zǐ Hán,1,Huì Fēn,1,Bō,1,Sun,1
Dinesh,1,Lalita,1,Saroj,1,Ray,1,Erzhan,1,Alina,1,Bagdat,1,Ospanov,1,Petrova,1,Huì Fēn,1,Jiā Lì,1,Qiū,1,He,1
Rakesh,1,Sima,1,Pa,1,Mondal,1,Arman,1,Anna,1,Bakytzhan,1,Serikov,1,Valieva,1,Jiā Lì,1,Jiā Yí,1,Bǎo,1,Ma,1
Dilip,1,Sangita,1,Prem,1,Khan,1,Timur,1,Lyudmila,1,Zhanat,1,Tsoy,1,Suleymenova,1,Jiā Háo,1,Jiā Huì,1,Lín,1,Yu,1
Ajay,1,Savitri,1,Uma,1,Sah,1,Nurlan,1,Akmaral,1,Raisa,1,Suleymenov,1,Romanyuk,1,Zǐ Ruì,1,Lán Fēn,1,Meilin,1,Hu,1
Mukesh,1,Rani,1,A,1,Patel,1,Alexey,1,Valentina,1,Aa,1,Karimov,1,Ibraeva,1,Bó Wén,1,Lì Huá,1,Cōng,1,Lin,1
Amit,1,Munni,1,Shyam,1,Prasad,1,Igor,1,Asel,1,Na,1,Ibragimov,1,Sarbalin,1,Yī Míng,1,Lì Méi,1,Líng,1,Jiang,1
Shankar,1,Sumitra,1,Ka,1,Patil,1,Erlan,1,Aydana,1,Ardak,1,Bondarenko,1,Popova,1,Jùn Dé,1,Lì Nà,1,Wén,1,Guo,1
Mohan,1,Nirmala,1,Kailash,1,Ghosh,1,Kanat,1,Diana,1,Amir,1,Eleusiz,1,Musin,1,Hào Yǔ,1,Měi Lián,1,Nuò,1,Luo,1
Ravi,1,Rina,1,Ca,1,Pal,1,Evgeniy,1,Lyubov,1,Nazym,1,Kaliev,1,Sadykova,1,Hào Yáng,1,Míng Xiá,1,Xīn,1,Gao,1
Ganesh,1,Savita,1,Durga,1,Sahu,1,Mikhail,1,Gulmira,1,Ayan,1,Nigmashev,1,Muratova,1,Jiā Wěi,1,Éleanore,1,Yáng,1,Zheng,1
Gopal,1,Maya,1,Raja,1,Gupta,1,Pavel,1,Saltanat,1,Baglan,1,Shevchenko,1,Aubakirova,1,Yǒng Lè,1,Míng Zhū,1,Fen,1,Liang,1
Arun,1,Sarita,1,Chandra,1,Shaikh,1,Oleg,1,Oleg,1,Beka,1,Popov,1,Kuznetsova,1,Yǔ Zé,1,Qiǎo Huì,1,Xiáng,1,Tang,1
Rahul,1,Jyoti,1,Vijaya,1,Bibi,1,Roman,1,Mariya,1,Rauan,1,Muratov,1,Nurdulla,1,Xiǎo Dān,1,Xiǎo Dān,1,Yīng,1,Wei,1
Mahesh,1,Kavita,1,Kanchan,1,Sekh,1,Dauren,1,Kristina,1,Salamat,1,Romanyuk,1,Ibragimova,1,Wěi Guó,1,Xiǎo Huì,1,Jīng,1,Shi,1
Jitendra,1,Mamta,1,Ganga,1,Begam,1,Maksim,1,Aida,1,Aydyn,1,Asanov,1,Amangeldi,1,Míng Yù,1,Yù Míng,1,Xī,1,Xie,1
Prakash,1,Mira,1,Pavan,1,Biswas,1,Dmitry,1,Aygul,1,Bayan,1,Ibraev,1,Kusainova,1,Zǐ Xīn,1,Shī Yún,1,Chàng,1,Song,1
