British Male,Weight,British Female,Weight,British Unisex,Weight,British Surname,Weight,French Male,Weight,French Female,Weight,French Unisex,Weight,French Surname,Weight,Spanish Male,Weight,Spanish Female,Weight,Spanish Unisex,Weight,Spanish Surname,Weight,Italian Male,Weight,Italian Female,Weight,Italian Unisex,Weight,Italian Surname,Weight,German Male,Weight,German Female,Weight,German Unisex,Weight,German Surname,Weight,Hungarian Male,Weight,Hungarian Female,Weight,Hungarian Unisex,Weight,Hungarian Surname,Weight,Greek Male,Weight,Greek Female,Weight,Greek Unisex,Weight,Greek Surname,Weight,Swedish Male,Weight,Swedish Female,Weight,Swedish Unisex,Weight,Swedish Surname,Weight,Russian Male,Weight,Russian Female,Weight,Russian Unisex,Weight,Russian Masculine Surname,Weight,Russian Feminine Surname,Weight
Noah,1,Olivia,1,Frankie,1,Smith,1,Gabriel,1,Emma,1,Adel,1,Martin,1,Liam,1,Raphaëlla,1,Noah,1,García,1,Leonardo,1,Anna,1,Adri,1,Rossi,1,Jonas,1,Emma,1,Noah,1,Müller,1,László,1,Boglárka,1,Bence,1,Nagy,1,Georgios,1,Maria,1,Agoran,1,Papadopoulos,1,Anshelm,1,Aischa,1,Aischa,1,Andersson,1,Sergey,1,Elena,1,Angel,1,Ivanov,1,Ivanova,1
Oliver,1,Amelia,1,River,1,Jones,1,Raphaël,1,Jade,1,Ames,1,Bernard,1,Lucas,1,Mía,1,Luca,1,Fernández,1,Francesco,1,Maria,1,Adrian,1,Russo,1,Ben,1,Mila,1,Luka,1,Schmidt,1,István,1,Csilla,1,Lorand,1,Kovács,1,Dimitrios,1,Eleni,1,Calais,1,Papadopoulou,1,Elay,1,Ottilia,1,Ottilia,1,Johansson,1,Aleksandr,1,Tatyana,1,Sema,1,Kuznetsov,1,Kuznetsova,1
George,1,Isla,1,Remi,1,Taylor,1,Léo,1,Louise,1,Aramis,1,Robert,1,Warenfried,1,Sofía,1,Élia,1,González,1,Lorenzo,1,Sara,1,Ale,1,Ferrari,1,Linus,1,Lina,1,Jona,1,Schneider,1,József,1,Enikő,1,Lorant,1,Tóth,1,Ioannis,1,Aikaterini,1,Cyn,1,Papageorgiou,1,Ray,1,Lillie,1,Lilly,1,Karlsson,1,Andrey,1,Olga,1,Alishka,1,Petrov,1,Smirnova,1
Arthur,1,Ava,1,Harley,1,Brown,1,Louis,1,Alice,1,Avignon,1,Richard,1,Alexander,1,Emma,1,Sam,1,Rodríguez,1,Alessandro,1,Laura,1,Andrea,1,Esposito,1,Elias,1,Emilia,1,Romy,1,Fischer,1,János,1,Erzsébet,1,Hunor,1,Szabó,1,Nikolaos,1,Vasiliki,1,Cyrille,1,Oikonomou,1,Lucas,1,Rachel,1,Jazmine,1,Nilsson,1,Dmitriy,1,Natalya,1,Zu,1,Magomedov,1,Petrova,1
Muhammad,1,Ivy,1,Eden,1,Williams,1,Lucas,1,Chloé,1,Axel,1,Durand,1,Timothé,1,Karlin,1,Leo,1,López,1,Andrea,1,Aurora,1,Ari,1,Bianchi,1,Emil,1,Amelie,1,Merle,1,Weber,1,Zoltán,1,Eszter,1,Kitti,1,Horváth,1,Konstantin,1,Sofia,1,Diamanto,1,Papadimitriou,1,Liam,1,Jazmine,1,Mandy,1,Eriksson,1,Vladimir,1,Ekaterina,1,Danka,1,Smirnov,1,Popova,1
Leo,1,Freya,1,Riley,1,Wilson,1,Adam,1,Lina,1,Beau,1,Dubois,1,Elias,1,Olivia,1,Tyler,1,Martínez,1,Mattia,1,Valentina,1,Cesare,1,Romano,1,Jonah,1,Hannah,1,Sam,1,Meyer,1,András,1,Ildikó,1,Luca,1,Varga,1,Christos,1,Anastasia,1,Ellery,1,Georgiou,1,Caesar,1,Anastasia,1,Natália,1,Larsson,1,Aleksey,1,Irina,1,Mister,1,Popov,1,Volkova,1
Harry,1,Lily,1,Quinn,1,Johnson,1,Arthur,1,Rose,1,Celestine,1,Moreau,1,Oliver,1,Émilia,1,Aria,1,Sánchez,1,Gabriele,1,Giulia,1,Dani,1,Colombo,1,Matz,1,Matilda,1,Jule,1,Wagner,1,Attila,1,Katalin,1,Fridrik,1,Kiss,1,Panagiotis,1,Georgia,1,Eridian,1,Papaioannou,1,Elias,1,Freya,1,Ellie,1,Olsson,1,Maksim,1,Svetlana,1,Artysh,1,Volkov,1,Novikova,1
Oscar,1,Florence,1,Rowan,1,Davies,1,Hugo,1,Léa,1,Chandell,1,Simon,1,Lilio,1,Maëlys,1,Hunter,1,Pérez,1,Tommaso,1,Rosa,1,Daniele,1,Ricci,1,Felix,1,Leah,1,Charlie,1,Becker,1,Béla,1,Margit,1,Marcell,1,Molnár,1,Vasileios,1,Evangelia,1,Eurythmia,1,Pappas,1,Levi,1,Natalía,1,Loélia,1,Persson,1,Ivan,1,Anastasiya,1,Aydys,1,Shevchenko,1,Morozova,1
Archie,1,Mia,1,Avery,1,Patel,1,Jules,1,Anna,1,Coty,1,Laurent,1,Eyden,1,Aryanna,1,Eyke,1,Martín,1,Riccardo,1,Gianna,1,Elio,1,Marino,1,Finn,1,Leni,1,Janis,1,Schulz,1,Csaba,1,Mária,1,Ili,1,Németh,1,Konstantinos,1,Eirini,1,Galen,1,Vasileiou,1,Valentin,1,Ellie,1,Rachel,1,Svensson,1,Evgeniy,1,Anna,1,Mika,1,Vasilev,1,Sokolova,1
Henry,1,Willow,1,Blake,1,Robinson,1,Maël,1,Mila,1,Cress,1,Michel,1,Mateo,1,Keyla,1,Jesse,1,Gómez,1,Edoardo,1,Giuseppina,1,Fede,1,Greco,1,Anton,1,Greta,1,Alexis,1,Hoffmann,1,Géza,1,Melinda,1,Laci,1,Farkas,1,Athanasios,1,Anna,1,Gene,1,Nikolaou,1,Julián,1,Loélia,1,Freya,1,Gustafsson,1,Alexander,1,Marina,1,Leska,1,Novikov,1,Pavlova,1
