Arab Male,Weight,Arab Female,Weight,Arab Unisex,Weight,Arab Surname,Weight,Israeli Male,Weight,Israeli Female,Weight,Israeli Unisex,Weight,Israeli Surname,Weight,Iranian Male,Weight,Iranian Female,Weight,Iranian Unisex,Weight,Iranian Surname,Weight,Turk Male,Weight,Turk Female,Weight,Turk Unisex,Weight,Turk Surname,Weight
Zayn,1,Aaliyah,1,Zain,1,Rajab,1,Yosef,1,Rachel,1,Daniyel,1,Cohen,1,Mohammad,1,Fatemeh,1,Seyyed,1,Mohammadi,1,Mehmet,1,Fatma,1,Sultan,1,Yılmaz,1
Muhammad,1,Akilah,1,Ilhan,1,Bilal,1,David,1,Ester,1,Tal,1,Levy,1,Ali,1,Zahra,1,Somayeh,1,Hosseini,1,Mustafa,1,Ayşe,1,Yaşar,1,Kaya,1
Idris,1,Djamila,1,Dara,1,Hashim,1,Moshe,1,Sarah,1,Adiy,1,Mizrahi,1,Hossein,1,Masoumeh,1,Elham,1,Ahmadi,1,Ahmet,1,Emine,1,Derya,1,Demir,1
Hamza,1,Elham,1,Isa,1,Ebeid,1,Avraham,1,Miriam,1,Tamar,1,Peretz,1,Mahdi,1,Leila,1,Rasool,1,Ali,1,Ali,1,Hatice,1,Ayhan,1,Çelik,1
Malik,1,Farah,1,Nour,1,Habib,1,Yaakv,1,Chanah,1,Liyor,1,Bitton,1,Reza,1,Zeynab,1,Ehsan,1,Moradi,1,Hasan,1,Zeynep,1,Yüksel,1,Şahin,1
Samir,1,Fatima,1,Ula,1,Qureshi,1,Muhammad,1,Rebecca,1,Shay,1,Dahan,1,Hassan,1,Marzieh,1,Narges,1,Heydari,1,Hüseyin,1,Elif,1,Ismet,1,Yıldız,1
Zayd,1,Gamila,1,Fuzail,1,Aziz,1,Isaac,1,Miykhal,1,Uriy,1,Agbaria,1,Ahmad,1,Seyyedeh,1,Omid,1,Karimi,1,Ibrahim,1,Meryem,1,Ümit,1,Yıldırım,1
Rayan,1,Ishtar,1,Aamirah,1,Irfan,1,Miykhael,1,Yael,1,Omer,1,Avraham,1,Saeed,1,Rogheyeh,1,Rooh,1,Mousavi,1,Murat,1,Özlem,1,Dursun,1,Öztürk,1
Rafi,1,Jamila,1,Dina,1,Mughrabi,1,Haim,1,Leah,1,Yuval,1,Friedman,1,Alireza,1,Sakineh,1,Soheila,1,Jafari,1,Ismail,1,Nonhlanhla,1,Deniz,1,Aydın,1
Mustafa,1,Kamaria,1,Farwah,1,Ibrahim,1,Shlomo,1,Shoshanah,1,Amiyt,1,Katz,1,Mohsen,1,Khadijeh,1,Hojjat,1,Mohammad,1,Ömer,1,Hülya,1,Muzaffer,1,Özdemir,1
