Australian Male,Weight,Australian Female,Weight,Australian Unisex,Weight,Australian Surname,Weight,Aboriginal Male,Weight,Aboriginal Female,Weight,Aboriginal Unisex,Weight,Aboriginal Surname,Weight,Māori Male,Weight,Māori Female,Weight,Māori Unisex,Weight,Māori Surname,Weight
David,1,Julie,1,Addison,1,Smith,1,Allambee,1,Aaina,1,Bili,1,Ah Chee,1,Nikau,1,Mia,1,Kahurangi,1,Henare,1
John,1,Karen,1,Ali,1,Jones,1,Bambam,1,Aalaa,1,Aabroo,1,Ah Matt,1,Ari,1,Aria,1,Kaea,1,Kaaka,1
Peter,1,Michelle,1,Bodhi,1,Williams,1,Bouddi,1,Aase,1,Aarzoo,1,Baymarrwangga,1,Niko,1,Maia,1,Manaia,1,Kahinu,1
Michael,1,Helen,1,Bronte,1,Brown,1,Ces,1,Abaigael,1,Bayan,1,Bulunbulun,1,Koa,1,Aurora,1,Koa,1,Moana,1
Paul,1,Sue,1,Charlie,1,Wilson,1,Dainen,1,Abigael,1,Ciji,1,Corowa,1,Mateo,1,Amaia,1,Atawhai,1,Ngata,1
Andrew,1,Elizabeth,1,Darcy,1,Taylor,1,Daymion,1,Adaliya,1,Mirri,1,Dhurrkay,1,Keanu,1,Kaiara,1,Harata,1,Ngatai,1
Mark,1,Sarah,1,Frankie,1,Anderson,1,Dimity,1,Adeena,1,Jannali,1,Djilangya,1,Mikaere,1,Kaia,1,Hau,1,Opetaia,1
Robert,1,Lisa,1,Harlow,1,Johnson,1,Dural,1,Alinta,1,Kaiya,1,Garimara,1,Manaia,1,Amara,1,Hunapo,1,Paewai,1
Ian,1,Kate,1,Harper,1,White,1,Gef,1,Allora,1,Maali,1,Gurruwiwi,1,Kairo,1,Kora,1,Hunu,1,Parata,1
Chris,1,Jane,1,Indiana,1,Thompson,1,Gie,1,Anele,1,Marli,1,Jungarai,1,Kiwa,1,Maria,1,Ikaroa,1,Rameka-waapu,1
Aiden,1,Anika,1,Indie,1,Lee,1,Gurumarra,1,Arika,1,Maroochy,1,Kerinaiua,1,Manu,1,Ariana,1,Iorangi,1,Rangihau,1
Muhammad,1,Ariana,1,James,1,Martin,1,Huon,1,Bahia,1,Merri,1,Kulitja,1,Teina,1,Manaia,1,Iraia,1,Tenadii,1
Ashton,1,Aurora,1,Jayden,1,Thomas,1,Irabinna,1,Basima,1,Pengana,1,Lanhupuy,1,Hawaiki,1,Anahera,1,Irirangi,1,Wero,1
Beau,1,Bridie,1,Jett,1,Walker,1,Jabiru,1,Callanna,1,Sydney,1,Mawurndjul,1,Tane,1,Hana,1,Iwi,1,Winiata,1
Caleb,1,Eden,1,Jordan,1,Kelly,1,Julij,1,Collerina,1,Tidam,1,Minyintiri,1,Tama,1,Aroha,1,Kaihautu,1,Hira,1
Marcus,1,Freya,1,Kai,1,Young,1,Kudnarto,1,Ellin,1,Waru,1,Mudjidell,1,Ariki,1,Ataahua,1,Kamaka,1,Pewhairangi,1
Darwin,1,Hallie,1,Mackenzie,1,Harris,1,Lowan,1,Jarrah,1,Watorea,1,Mununggurr,1,Anaru,1,Tia,1,Makareta,1,Rewi,1
Elijah,1,Heidi,1,Noah,1,King,1,Mawukura,1,Kareela,1,Yarran,1,Nakamarra,1,Wiremu,1,Ria,1,Rongo,1,Taumata,1
Felix,1,Ivy,1,Peyton,1,Ryan,1,Monti,1,Killara,1,Yindi,1,Nannup,1,Tangaroa,1,Tui,1,Tia,1,Te Wiata,1
Lachlan,1,Luella,1,Quinn,1,Roberts,1,Nullah,1,Kylie,1,Alinta,1,Napangardi,1,Nikora,1,Kaea,1,Tui,1,Turei,1
Liam,1,Ella,1,Remi,1,Hall,1,Omeo,1,Lowanna,1,Allyra,1,Ngale,1,Kai,1,Kara,1,Aiali’i,1,Waerea,1
Levi,1,Matilda,1,Riley,1,Evans,1,Rashtin,1,Medika,1,Arika,1,Noonuccal,1,Kahurangi,1,Te Ao,1,Amara,1,Waititi,1
Theodore,1,Chloe,1,River,1,Davis,1,Talei,1,Narelle,1,Bindi,1,Ofanengaue,1,Tai,1,Marekiura,1,Mere,1,Vaatuitui,1
William,1,Grace,1,Val,1,Wright,1,Tau,1,Talia,1,Coen,1,Petyarre,1,Hemi,1,Miru,1,Kai,1,Searancke,1
Lucas,1,Mia,1,Alex,1,Baker,1,Warragul,1,Waratah,1,Daku,1,Rubuntja,1,Rawiri,1,Kahurangi,1,Koraka,1,Otimi,1
Leo,1,Ava,1,Noel,1,Campbell,1,Warriya,1,Victoria,1,Ellin,1,Sampi,1,Ihaia,1,Marama,1,Aroha,1,Ngatoko,1
Henry,1,Isla,1,Jessie,1,Edwards,1,Yannathan,1,Rianna,1,Jarli,1,Tipiloura,1,Tawhiri,1,Moana,1,Nyree,1,Lecca,1
Jack,1,Charlotte,1,Kris,1,Clark,1,Yileen,1,Orana,1,Jarrah,1,Ulungura,1,Te Ariki,1,Huia,1,Moana,1,Kaponga,1
Noah,1,Amelia,1,Courtney,1,Robinson,1,Monaro,1,Ngarra,1,Medika,1,Wapau,1,Rui,1,Tiare,1,Rangi,1,Aranui,1
Oliver,1,Olivia,1,Leigh,1,McDonald,1,Jindalee,1,Myaree,1,Ngarra,1,Yagmoor,1,Kauri,1,Koa,1,Aperahama,1,Birro,1
